File Name,Field,description,units,Minimum,Maximum
wind_measurements.csv,deployment_id,"Unique identifier for an uninterrupted monitoring period with a fixed camera location and view, linking photographs and associated sensor observations. Missing values are represented by NULL.",identifier,N/A,N/A
wind_measurements.csv,wind_sensor_id,Unique identifier for an individual wind sensor. Missing values are represented by NULL.,identifier,N/A,N/A
wind_measurements.csv,timestamp,Observation date and time in ISO 8601 format without a UTC offset. Missing values are represented by NULL.,recorded clock,2023-11-17T11:40:00,2025-01-31T04:04:00
wind_measurements.csv,wind_speed,Average wind speed over the one-minute recording interval. Missing values are represented by NULL.,meters per second,0.0,9.7
wind_measurements.csv,wind_gust,Maximum wind speed during the one-minute recording interval. Missing values are represented by NULL.,meters per second,0.0,119.0
wind_measurements.csv,wind_direction,"Average wind direction over the one-minute recording interval, in degrees clockwise from north, as recorded by the logger. Missing values are represented by NULL.",degrees,0.0,360.0
photos/SC1/SC1_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC1, collected with camera EM03. Files are stored in photos/SC1/. The literal filename prefix SC1_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC10/SC10_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC10, collected with camera JINX. Files are stored in photos/SC10/. The literal filename prefix SC10_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC11/SC11_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC11, collected with camera IRIS. Files are stored in photos/SC11/. The literal filename prefix SC11_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC12/SC12_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC12, collected with camera NOVA. Files are stored in photos/SC12/. The literal filename prefix SC12_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC2/SC2_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC2, collected with camera LYNX. Files are stored in photos/SC2/. The literal filename prefix SC2_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC3/SC3_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC3, collected with camera ECHO. Files are stored in photos/SC3/. The literal filename prefix SC3_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC4/SC4_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC4, collected with camera ZEST. Files are stored in photos/SC4/. The literal filename prefix SC4_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC5/SC5_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC5, collected with camera APEX. Files are stored in photos/SC5/. The literal filename prefix SC5_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC6/SC6_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC6, collected with camera EM03. Files are stored in photos/SC6/. The literal filename prefix SC6_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC7/SC7_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC7, collected with camera IRIS. Files are stored in photos/SC7/. The literal filename prefix SC7_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC8/SC8_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC8, collected with camera EM03. Files are stored in photos/SC8/. The literal filename prefix SC8_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC9/SC9_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC9, collected with camera WASP. Files are stored in photos/SC9/. The literal filename prefix SC9_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SLC6_1/SLC6_1_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SLC6_1, collected with camera NOVA. Files are stored in photos/SLC6_1/. The literal filename prefix SLC6_1_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SLC6_2/SLC6_2_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SLC6_2, collected with camera WASP. Files are stored in photos/SLC6_2/. The literal filename prefix SLC6_2_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/TGR1/TGR1_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment TGR1, collected with camera ZEST. Files are stored in photos/TGR1/. The literal filename prefix TGR1_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format. TGR1 photo metadata and filenames use reconstructed capture times, aligned to the deployment start and end using elapsed time in the numbered image sequence. The camera calendar jump was removed and recording gaps were retained. The visible timestamp overlay still shows the incorrect camera date and time.",N/A,N/A,N/A
photos/UDMH1/UDMH1_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment UDMH1, collected with camera LUNA. Files are stored in photos/UDMH1/. The literal filename prefix UDMH1_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/UDMH2/UDMH2_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment UDMH2, collected with camera GOLD. Files are stored in photos/UDMH2/. The literal filename prefix UDMH2_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/UDMH3/UDMH3_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment UDMH3, collected with camera GOLD. Files are stored in photos/UDMH3/. The literal filename prefix UDMH3_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/UDMH4/UDMH4_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment UDMH4, collected with camera LUNA. Files are stored in photos/UDMH4/. The literal filename prefix UDMH4_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/ARC1/ARC1_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment ARC1, collected with camera ORCA. Files are stored in photos/ARC1/. The literal filename prefix ARC1_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/BC01/BC01_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment BC01, collected with camera APEX. Files are stored in photos/BC01/. The literal filename prefix BC01_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/CR01/CR01_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment CR01, collected with camera GOLD. Files are stored in photos/CR01/. The literal filename prefix CR01_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/MM01/MM01_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment MM01, collected with camera NOVA. Files are stored in photos/MM01/. The literal filename prefix MM01_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/PS01/PS01_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment PS01, collected with camera EM03. Files are stored in photos/PS01/. The literal filename prefix PS01_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SC13/SC13_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SC13, collected with camera IRIS. Files are stored in photos/SC13/. The literal filename prefix SC13_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/SLC6_3/SLC6_3_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment SLC6_3, collected with camera KIWI. Files are stored in photos/SLC6_3/. The literal filename prefix SLC6_3_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/TGR2/TGR2_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment TGR2, collected with camera MOSS. Files are stored in photos/TGR2/. The literal filename prefix TGR2_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
photos/UDMH05/UDMH05_YYYYMMDDHHMMSS.JPG,N/A,"JPEG photographs from deployment UDMH05, collected with camera JADE. Files are stored in photos/UDMH05/. The literal filename prefix UDMH05_ identifies the deployment. YYYYMMDDHHMMSS gives the four-digit year, two-digit month, day, hour, minute and second, with hours 00 through 23 on a 24-hour clock. Each filename identifies a photograph at its recorded capture time. Device times have no UTC offset and were not automatically adjusted for daylight saving time. Use deployment_id and image_filename in photo_index.csv to link photographs to deployments.csv and associated observations. The .JPG extension denotes JPEG format.",N/A,N/A,N/A
